Title,Author,Genre,Publisher,Year of Publication,ISBN,Description,Language,Image
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Thomas_Jefferson_and_the_Tripoli_Pirates__The_Forgotten_War_That_Changed_American_History.jpg
Thirteen Reasons Why,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Thirteen_Reasons_Why.jpg
The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\The_White_Cat_and_the_Monk__A_Retelling_of_the_Poem__Pangur_Bán_.jpg
The Wedding Dress,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\The_Wedding_Dress.jpg
The Vacationers,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\The_Vacationers.jpg
The Third Wave: An Entrepreneur’s Vision of the Future,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\The_Third_Wave__An_Entrepreneur_s_Vision_of_the_Future.jpg
The Stranger,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\The_Stranger.jpg
The Shadow Hero (The Shadow Hero),Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\The_Shadow_Hero__The_Shadow_Hero_.jpg
The Secret (The Secret #1),Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\The_Secret__The_Secret__1_.jpg
The Regional Office Is Under Attack!,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\The_Regional_Office_Is_Under_Attack_.jpg
The Psychopath Test: A Journey Through the Madness Industry,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\The_Psychopath_Test__A_Journey_Through_the_Madness_Industry.jpg
The Project,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\The_Project.jpg
The Power of Now: A Guide to Spiritual Enlightenment,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\The_Power_of_Now__A_Guide_to_Spiritual_Enlightenment.jpg
The Omnivore's Dilemma: A Natural History of Four Meals,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\The_Omnivore_s_Dilemma__A_Natural_History_of_Four_Meals.jpg
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\The_Nerdy_Nummies_Cookbook__Sweet_Treats_for_the_Geek_in_All_of_Us.jpg
The Murder of Roger Ackroyd (Hercule Poirot #4),Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\The_Murder_of_Roger_Ackroyd__Hercule_Poirot__4_.jpg
The Mistake (Off-Campus #2),Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\The_Mistake__Off_Campus__2_.jpg
The Matchmaker's Playbook (Wingmen Inc. #1),Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\The_Matchmaker_s_Playbook__Wingmen_Inc___1_.jpg
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\The_Love_and_Lemons_Cookbook__An_Apple_to_Zucchini_Celebration_of_Impromptu_Cooking.jpg
The Long Shadow of Small Ghosts: Murder and Memory in an American City,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\The_Long_Shadow_of_Small_Ghosts__Murder_and_Memory_in_an_American_City.jpg
The Kite Runner,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\The_Kite_Runner.jpg
The House by the Lake,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\The_House_by_the_Lake.jpg
The Glittering Court (The Glittering Court #1),Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\The_Glittering_Court__The_Glittering_Court__1_.jpg
The Girl on the Train,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\The_Girl_on_the_Train.jpg
The Genius of Birds,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\The_Genius_of_Birds.jpg
The Emerald Mystery,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\The_Emerald_Mystery.jpg
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\The_Cookies___Cups_Cookbook__125__sweet___savory_recipes_reminding_you_to_Always_Eat_Dessert_First.jpg
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\The_Bridge_to_Consciousness__I_m_Writing_the_Bridge_Between_Science_and_Our_Old_and_New_Beliefs_.jpg
The Artist's Way: A Spiritual Path to Higher Creativity,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\The_Artist_s_Way__A_Spiritual_Path_to_Higher_Creativity.jpg
The Art of War,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\The_Art_of_War.jpg
